Unnamed: 0,Unnamed: 1,Namn,För. Nr,Adress,Co Adress,Post Nr,Unnamed: 7,Postort,Kommun,Epostadress,Unnamed: 11,Hemsida,lat,lon,district,geocoding_confidence,geocoding_details,size_bucket,latitude,longitude,id
,,Askims IK,1113.0,Box 9120,Stora Åvägen 1,40093,,GÖTEBORG,Göteborg,info@askimsik.se,,www.askimsik.se,,,,failed,Geocoding failed,medium,,,11
,,Assyriska BK,8350.0,Diamantgatan 1,,42150,,VÄSTRA FRÖLUNDA,Göteborg,assyriska.bk@mail.com,,https://www.laget.se/AssyriskaBK,57.6508038,11.9035503,,exact,Exact match: Diamantgatan 1,medium,57.6508038,11.9035503,12
,,Athletic FC Angered ,56528.0,Kalendervägen 16,Hussein Yusuf Abdi,41534,,GÖTEBORG,Göteborg,afcangered@gmail.com,,w,57.7489988,12.0339973,,exact,Exact match: KalendervÄgen 16,medium,57.7489988,12.0339973,13
,,Atletico Göteborg FC ,55193.0,"Danska vägen 88, Göteborg",,416 59,,Göteborg,Göteborg,ts.samuelsson@hotmail.com,,,57.7132795,12.0063108,,exact,Exact match: Danska VÄgen 88,large,57.7132795,12.0063108,14
,,Azalea BK,27680.0,Ekedalsgatan 20,Majvallen,41468,,GÖTEBORG,Göteborg,kansli@azaleabk.se,,http://www.azaleabk.se,57.6893864,11.9344163,,exact,Exact match: Ekedalsgatan 20,large,57.6893864,11.9344163,15
,,Backatorp IF,32492.0,, ,42247,,Hisings Backa,Göteborg,kansliet@backatorpif.se,,www.backatorpif.se,,,,failed,Geocoding failed,medium,,,16
,,Balltorps FF,24821.0,Gundefjällsgatan 115,Jonas Werley,43150,,Mölndal,Mölndal,joel@i-store.se,,www.laget.se/balltorpsff,57.71566997499999,12.061390817857143,,fuzzy,Street midpoint: LÅngefjÄllsgatan (28 addresses),medium,57.71566997499999,12.061390817857143,17
,,Bellevue City FK ,56477.0,Karl Gustavsgatan 53,,41131,,Göteborg,Göteborg,tom_engvall@hotmail.com,,,57.6943305,11.9693317,,exact,Exact match: Karl Gustavsgatan 53,large,57.6943305,11.9693317,18
,,Bergsjö IF,1168.0,"Sjustjärnan, Bergsjövallen",,415 51,,GÖTEBORG,Göteborg,bergsjoifgbg@outlook.com,,www.laget.se/bergsjo_if,57.7526695,12.0568619,,exact,Street midpoint: SjustjÄrnan (2 addresses),medium,57.7526695,12.0568619,19
,,Bergums IF,1172.0,Bergumsvallen,,42470,,OLOFSTORP,Göteborg,bergumsif@gmail.com,,Laget.se/bergumsif,57.8303857,11.9171153,,fuzzy,Street midpoint: Bergkullen (1 addresses),medium,57.8303857,11.9171153,20
,,Bjurslätts IF,1192.0,Hällskriftsgatan 3,,41726,,GÖTEBORG,Göteborg,info@bjurslatt.se,,http://www.bjurslatt.com,57.730148,11.9330858,,exact,Exact match: HÄllskriftsgatan 3,medium,57.730148,11.9330858,21
,,Björndammens BK,8304.0,Grenvägen 3,Christer Grahn,43347,,PARTILLE,Partille,kansli@bjorndammensbk.se,,www.bjorndammensbk.se,57.6908954,11.9360313,,fuzzy,Fuzzy match: GenvÄgen 3 (score: 94),large,57.6908954,11.9360313,22
,,BK Bifrost,8301.0,BK Bifrost ,Karin Larsson,431 44,,MÖLNDAL,Mölndal,fana_hunegnaw@hotmail.com; kassor@bkbifrost.se,,www.bkbifrost.se,,,,failed,Geocoding failed,medium,,,23
,,BK Björkåsen,1584.0,Nolängsvägen 12,Curt Bryngelsson,424 55,,Angered,Göteborg,cbryngel@gmail.com,,http://www.laget.se/bjorkasen,57.7802454,12.0609278,,exact,Exact match: NolÄngsvÄgen 12,medium,57.7802454,12.0609278,24
,,BK Häcken,2126.0,Entreprenadvägen 6,,417 05,,GÖTEBORG,Göteborg,kansli@bkhacken.se; kansliungdom@bkhacken.se; anders.wahrnberg@bkhacken.se,,https://bkhacken.se/,57.7411732,11.9473239,,exact,Exact match: EntreprenadvÄgen 6,large,57.7411732,11.9473239,25
,,BK Häcken FF,8378.0,Entreprenadvägen 6,,417 05,,Göteborg,Göteborg,kansli@bkhacken.se; kansliungdom@bkhacken.se; anders.wahrnberg@bkhacken.se; tomas.andersson@bkhacken.se,,https://bkhacken.se/,57.7411732,11.9473239,,exact,Exact match: EntreprenadvÄgen 6,large,57.7411732,11.9473239,26
,,BK S:t Jakob,34967.0,Parkgatan 4,,41138,,GÖTEBORG,Göteborg,Robertolans@hotmail.com,,svenskalag.se/bkjakob,57.7029311,11.9748047,,exact,Exact match: Parkgatan 4,large,57.7029311,11.9748047,27
,,BK Skottfint,35610.0,Verkmästaregatan 2,Daniel Åman,41757,,GÖTEBORG,Göteborg,fogis@skottfint.nu,,http://www.skottfint.nu,57.7047696,11.9318188,,exact,Exact match: VerkmÄstaregatan 2,large,57.7047696,11.9318188,28
,,Brämaregårdens FC,45892.0,Blidvädersplan,,418 30,,Göteborg,Göteborg,bramaregarden@hotmail.com,,svenskalag.se/bfc,57.71060287844827,11.890308482758622,,fuzzy,Street midpoint: BlidvÄdersgatan (116 addresses),medium,57.71060287844827,11.890308482758622,29
,,Chalmers Studentkårs IS,51319.0,Teknologgården 2,,412 58,,Göteborg,Göteborg,carl.kieksi@cis-chalmers.se,,,57.6942126,11.9780429,,fuzzy,Fuzzy match: Teknologgatan 2 (score: 74),large,57.6942126,11.9780429,30
,,Club América FF,54448.0,Sommarvädersgatan 18-1201,Mike Ramirez,41833,,Göteborg,Göteborg,club.america.ff@outlook.com,,https://www.svenskalag.se/clubamericaff,57.716712202500005,11.89526236,,fuzzy,Street midpoint: SommarvÄdersgatan (40 addresses),medium,57.716712202500005,11.89526236,31
,,Croatia Göteborg,8314.0,Kortedala Idrottsväg 15,,41511,,GÖTEBORG,Göteborg,ante.lijic@seb.se; ervin.gulin@hotmail.com,,https://www.laget.se/CROATIAGOTEBORG/,57.7522147,12.0396423,,exact,Exact match: Kortedala IdrottsvÄg 15,medium,57.7522147,12.0396423,32
,,Dalen/Krokslätts FF,8315.0,Krokslätts Storgata 44,,431 38,,MÖLNDAL,Mölndal,dalenkff@gmail.com,,www.laget.se/DalenKFF_,57.6778392,11.987479566666666,,fuzzy,Street midpoint: KrokslÄtts Parkgata (3 addresses),large,57.6778392,11.987479566666666,33
,,Diseröd SK,44736.0,ULVEGÄRDEGATAN 49,DANIEL BROMAN,44243,,KUNGÄLV,Kungälv,dskfotboll@live.se,,http://www.svenskalag.se/diserodsk,57.70056967999999,12.00413579,,fuzzy,Street midpoint: HumlegÅrdsgatan (10 addresses),large,57.70056967999999,12.00413579,34
,,Donsö IS,8316.0,Lurkenvägen 2,,43082,,DONSÖ,Göteborg,Anders.backman@siriusshipping.eu ; jbe.taxi@telia.com,,http://www.laget.se/Donsois1,57.604849,11.8044952,,exact,Exact match: LurkenvÄgen 2,medium,57.604849,11.8044952,35
,,Elisedals IS,1480.0,Löparegatan 2,,416 69,,GÖTEBORG,Göteborg,elisedals_is@hotmail.com,,http://www.laget.se/elisedalsis,57.72190866666666,12.009794153333331,,exact,Street midpoint: LÖparegatan (15 addresses),large,57.72190866666666,12.009794153333331,36
,,Eriksbergs IF,8319.0,Danagatan 16,Reine Lindmark,41876,,GÖTEBORG,Göteborg,eriksberg.fotboll@telia.com,,,57.7048777,11.9108867,,exact,Exact match: Danagatan 16,medium,57.7048777,11.9108867,37
,,Espanyol Göteborg IF ,54985.0,Trädesgatan 5A ,,41505,,Göteborg,Göteborg,ernesto@rcdespanyolacademy.se; goteborg@rcdespanyolacademy.se,,,57.7214165,11.9392444,,exact,Exact match: TrÄdesgatan 5A,large,57.7214165,11.9392444,38
,,FC Fyrklövern,67139.0,Fyrklöversgatan,,41721,,Göteborg,Göteborg,fcfyrklovern2020@gmail.com,,,57.727155008,11.932013047999998,,exact,Street midpoint: FyrklÖversgatan (100 addresses),medium,57.727155008,11.932013047999998,39
,,FC Heden,44670.0,Johannas väg 26,Tobias Larsson,42542,,Göteborg,Göteborg,fcheden@hotmail.com,,www.laget.se/fcheden,57.8066728,11.9795949,,exact,Exact match: Johannas VÄg 26,medium,57.8066728,11.9795949,40
,,FC Härlanda,45280.0,Lilla Korsåsgatan 28,Sebatian Malcus,421 47,,Västra Frölunda,Göteborg,jonatan_hellman@hotmail.com,,,57.643982,11.9126701,,exact,Exact match: Lilla KorsÅsgatan 28,medium,57.643982,11.9126701,41
,,FC Komarken,40883.0,Kongahällagatan 34 A,,442 38,,KUNGÄLV,Kungälv,fckomarken@gmail.com,,http://www.laget.se/fc-komarken,57.760190375,12.050918625,,fuzzy,Street midpoint: Galaxgatan (4 addresses),medium,57.760190375,12.050918625,42
,,FC Kålltorp ,54962.0,Björcksgatan 11,"Ulf Jörnvik, FC Kålltorp",41652,,Göteborg,Göteborg,mikael.ok.olsson@gmail.com,,,57.7169076,12.0217515,,exact,Exact match: BjÖrcksgatan 11,medium,57.7169076,12.0217515,43
,,FC Ljiljan Göteborg,52848.0,Ekspinnarevägen 19,Haris Avdic,43531,,Mölnlycke,Härryda,avdicharis@yahoo.se,,https://www.svenskalag.se/fcljiljan,57.6261422125,11.955552384375,,fuzzy,Street midpoint: SkrinnarvÄgen (32 addresses),medium,57.6261422125,11.955552384375,44
,,FC Majorna,43869.0,Bangatan 23,Okinedo,41463,,Göteborg,Göteborg,jaykadir86@gmail.com,,laget.se/FCmajorna,57.6964068,11.9347847,,exact,Exact match: Bangatan 23,large,57.6964068,11.9347847,45
,,Finlandia Pallo AIF,26254.0,Hinnebäcksgatan,,417 45,,GÖTEBORG,Göteborg,info@finpa.se,,www.finpa.se,57.750462178125005,11.918145346875,,exact,Street midpoint: HinnebÄcksgatan (64 addresses),medium,57.750462178125005,11.918145346875,46
,,Floda BoIF,1620.0,Skallsjö Prästväg 12,,448 31,,FLODA,Lerum,kansliet@flodaboif.se,,http://www.flodaboif.se,,,,failed,Geocoding failed,medium,,,47
,,Fotö GoIF,8323.0,Dörjevägen 18,Maria Zackrisson,47545,,Fotö,Öckerö,Rasmuszackrisson@gmail.com,,www.laget.se/fgif,57.64824598604651,11.79998215116279,,fuzzy,Street midpoint: KÖrevÄgen (43 addresses),medium,57.64824598604651,11.79998215116279,48
,,Framtida Idrottsförening ,55962.0,"Markurellgatan 24, lgh 1102",Osman Cabdisamad Cismaan,422 52,,Hisings Backa,Göteborg,osman.cismaan93@gmail.com,,,57.7469774,11.9756054,,exact,Exact match: Markurellgatan 24,large,57.7469774,11.9756054,49
,,Fröjdens FK,51007.0,Mölndalsvägen 87D,Philip Franzén,41284,,Göteborg,Göteborg,frojdensfk@hotmail.com,,http://www.laget.se/frojdensfk,57.680915,12.0018317,,exact,Exact match: MÖlndalsvÄgen 87D,large,57.680915,12.0018317,50
,,Fässbergs IF,8328.0,Idrottsvägen 3,,43162,,MÖLNDAL,Mölndal,kansli@fassbergsif.se; fogis@fassbergsif.se; klubbchef@fassbergsif.se; ordforande@fassbergsif.se,,www.fassbergsif.se,57.7882203,12.0963704,,fuzzy,Street midpoint: VÄnderotsvÄgen (1 addresses),medium,57.7882203,12.0963704,51
,,GAIS,8338.0,Gamla Boråsvägen 75,,41276,,GÖTEBORG,Göteborg,info@gais.se; magnus.skoldmark@gais.se,,www.gais.se,57.6805911,12.0295318,,exact,Exact match: Gamla BorÅsvÄgen 75,large,57.6805911,12.0295318,52
,,GAIS Futsal,51600.0,Årsringagatan 50,Fredrik Ritter,431 51,,Mölndal,Göteborg,fredrik@gotrev.se,,www.gaisfutsal.com,57.678873825,11.9482928,,fuzzy,Street midpoint: Syringsgatan (4 addresses),large,57.678873825,11.9482928,53
,,Galacticos FC,66921.0,Galileis Gata 13,Sadaq Bashir,41554,,Göteborg,Göteborg,galacticos.bergsjon@gmail.com,,,57.7618241,12.0541806,,exact,Exact match: Galileis Gata 13,medium,57.7618241,12.0541806,54
,,Gambian Mix IF,54183.0,Inägogatan 23C,Mustapha Minteh,41784,,Göteborg ,Göteborg,baltimore83@hotmail.com,,,57.7134989,11.9127278,,exact,Exact match: InÄgogatan 23C,medium,57.7134989,11.9127278,55
,,Gamlestaden FF,51497.0,Eklövsvägen 216,Christian Brile,443 50,,Lerum,Göteborg,christian.brile@gmail.com,,www.gamlestadenff.se,57.7357925,11.792644433333331,,fuzzy,Street midpoint: KlÖvÅsvÄgen (9 addresses),medium,57.7357925,11.792644433333331,56
,,Gatans Lag FF,45770.0,Härlanda Park 6B,Qviding FIF,41652,,Göteborg,Göteborg,info@gatanslag.se; felizia@gatanslag.se,,www.gatanslag.se,57.7162171,12.0171829,,exact,Exact match: HÄrlanda Park 6B,large,57.7162171,12.0171829,57
,,GoldCoast FC,54766.0,Tellusgatan 8 lgh 452,Gilbert Mensah,41568,,GÖTEBORG ,Göteborg,gold.coast.fc.gbg@gmail.com,,https://www.svenskalag.se/goldcoastfc,57.7591586734375,12.0711968640625,,fuzzy,Street midpoint: Tellusgatan (64 addresses),medium,57.7591586734375,12.0711968640625,58
,,Gothenburg Celtic FC,43913.0,Haga Östergata 18,Florent Schildknecht,41301,,Göteborg,Göteborg,gothenburgceltic@gmail.com,,www.gothenburgceltic.com,57.6990285,11.9591206,,fuzzy,Fuzzy match: Haga Àstergata 18 (score: 90),large,57.6990285,11.9591206,59
,,Grunden BOIS,38306.0,Krutvägen 4,Prioritet Serneke Arena,415 28,,GÖTEBORG,Göteborg,thor@grundenbois.com,,http://www.grundenbois.com,57.7380158,12.0349041,,exact,Exact match: KrutvÄgen 4,medium,57.7380158,12.0349041,60
,,Guldhedens IK,1835.0,Dr. Heymans gata 1F,,41322,,GÖTEBORG,Göteborg,kansli@guldhedensik.se; fotbollsansvarig@guldhedensik.se; ungdomsfotboll@guldhedensik.se,,https://www.guldhedensik.se,57.6866629,11.9684412,,fuzzy,Fuzzy match: Doktor Heymans Gata 1F (score: 86),large,57.6866629,11.9684412,61
,,Gunnared KIF,50945.0,Gunnaredsvallen 4,,42466,,Angered,Göteborg,gunnaredkif@outlook.com ,,www.svenskalag.se/gunnaredkif,57.8004972,12.0651938,,exact,Exact match: Gunnaredsvallen 4,medium,57.8004972,12.0651938,62
,,Gunnilse IS,1850.0,Knattens Väg 12,,424 32,,ANGERED,Göteborg,kansli@gunnilseis.se; Bjorn@gunnilseis.se; gunilla@gunnilseis.se; idris.abdi@gunnilseis.se; abbas@gunnilseis.se,,http://www.gunnilseis.se,57.7778656,12.0164021,,exact,Exact match: Knattens VÄg 12,medium,57.7778656,12.0164021,63
,,Gårda BK,8333.0,Katrinebergsgatan 4B,Näsström,43161,,Mölndal,Göteborg,gardabk1919@gmail.com,,www.svenskalag.se/gardabk,57.69443050625,11.923113075,,fuzzy,Street midpoint: Mariebergsgatan (16 addresses),medium,57.69443050625,11.923113075,64
,,Gårdsten FC,56525.0,Muskotgatan 32,,42441,,Angered,Göteborg,Gardstenfc@gmail.com,,,57.8061487,12.0314742,,exact,Exact match: Muskotgatan 32,medium,57.8061487,12.0314742,65
,,Götafors BK ,56552.0,Bifrostgatan 48E,,43144,,Mölndal,Mölndal,gotaforsbk@outlook.com,,,57.72575222222223,11.915882266666667,,fuzzy,Street midpoint: Frostgatan (9 addresses),medium,57.72575222222223,11.915882266666667,66
,,Götaholms BK,8335.0,Ambrosiusgatan 2,Brandströmska skolan,41517,,GÖTEBORG,Göteborg,info.gotaholm@gmail.com,,http://www.gotaholm.se,57.7344596,12.011060566666666,,exact,Street midpoint: Ambrosiusgatan (3 addresses),large,57.7344596,12.011060566666666,67
,,Göteborgs City FF,40858.0,Norra Krokslättsgatan 13,Hultberg,41264,,Göteborg,Göteborg,goteborgscityff@gmail.com,,https://www.instagram.com/goteborgscityff/,57.6891272,11.9932615,,exact,Exact match: Norra KrokslÄttsgatan 13,large,57.6891272,11.9932615,68
,,Göteborgs FF,1895.0,Ekedalsgatan 20,Majvallen,414 68,,GÖTEBORG,Göteborg,gff@gff1897.se,,http://www.svenskalag.se/gff1897,57.6893864,11.9344163,,exact,Exact match: Ekedalsgatan 20,large,57.6893864,11.9344163,69
,,Göteborgs SIF,1907.0,Gibraltargatan 39-41,Idrottshallen Fysiken,41279,,GÖTEBORG,Göteborg,styrelsen@gsif.se,,http://gsif.se/,57.68646140422536,11.982202761971832,,fuzzy,Street midpoint: Gibraltargatan (71 addresses),large,57.68646140422536,11.982202761971832,70
,,Hammarkullens BK,50653.0,Fjäderharvsgatan 115,Christian Winnicki,42466,,Angered,Göteborg,Yaaquub.hkbk@gmail.com,,,57.7972417,12.0551299,,exact,Exact match: FjÄderharvsgatan 115,medium,57.7972417,12.0551299,71
,,Hermansby IF,2014.0,Lyckevägen 19,,442 70,,KÄRNA,Kungälv,kansli@hermansbyif.se,,www.hermansbyif.se,57.6312966625,11.9292968125,,exact,Street midpoint: LyckevÄgen (8 addresses),medium,57.6312966625,11.9292968125,72
,,Hira IK,54926.0,Rimfrostgatan 113,Abedin Belaj,418 40,,Göteborg,Göteborg,,,,57.7308679,11.8876593,,exact,Exact match: Rimfrostgatan 113,medium,57.7308679,11.8876593,73
,,Hisingsbacka FC,2031.0,Box 4187,,42204,,HISINGS BACKA,Göteborg,kansli@hbfc.se,,http://www.hbfc.se,,,,failed,Geocoding failed,medium,,,74
,,Hjuviks AIK,21414.0,Torslanda Hästeviksväg 59,,42341,,Torslanda,Göteborg,hjuviksaik@hotmail.com,,https://hjuviksaik.myclub.se/,57.7187576,11.7207528,,fuzzy,Fuzzy match: Torslanda HÄsteviks VÄg 59 (score: 98),medium,57.7187576,11.7207528,75
,,Hovås Billdal IF,2075.0,Box 2004,,436 02,,HOVÅS,Göteborg,nina@hovasbilldal.se; peter@hovasbilldal.se ,,http://www.hovasbilldal.se,,,,failed,Geocoding failed,medium,,,76
,,Hålta IK,2124.0,Matskärsvägen 88,Tony Tenvid,442 75,,LYCKE,Kungälv,fotboll@haltaik.se,,www.haltaik.se,57.64638486470588,11.87236195882353,,fuzzy,Street midpoint: SvartskÄrsvÄgen (34 addresses),medium,57.64638486470588,11.87236195882353,77
,,Hällesåker IF,8353.0,Raneredsvägen 5,,437 92,,LINDOME,Mölndal,info@hallesakerif.nu; jesper.loenn@gmail.com,,www.hallesakerif.nu,57.66390154285715,11.876849406122448,,fuzzy,Street midpoint: TraneredsvÄgen (49 addresses),medium,57.66390154285715,11.876849406122448,78
,,Hälsö BK,2150.0,Box 256,,47512,,HÄLSÖ,Öckerö,lisa.pettersson@live.se,,www.halsobk.se,,,,failed,Geocoding failed,medium,,,79
,,Härryda IF,2159.0,Lerdalsvägen 1,,43892,,HÄRRYDA,Härryda,harrydaif@hotmail.com; Albin.030414@gmail.com; Bako.lofgren@harryda.se,,www.laget.se/harrydaif,57.68415391999999,12.00262846,,fuzzy,Street midpoint: AlmedalsvÄgen (5 addresses),large,57.68415391999999,12.00262846,80
,,Högaborg Käringön FC,31890.0,Stampgatan 64 Lgh 1702,Torsten Landergren,41101,,GÖTEBORG,Göteborg,info@hkfc.se,,http://www.hkfc.se,57.70898204200001,11.985288857999995,,fuzzy,Street midpoint: Stampgatan (50 addresses),large,57.70898204200001,11.985288857999995,81
,,Högsbo FF ,66945.0,Golfstigen 5,,43650,,Hovås,Göteborg,hogsboff@gmail.com,,,57.6145346,11.9303156,,exact,Exact match: Golfstigen 5,medium,57.6145346,11.9303156,82
,,Hönö IS,2197.0,Lindblomsvägen 30,,475 42,,HÖNÖ,Öckerö,Ordforande@honois.se,,www.laget.se/honois,57.7062866,11.9290874,,fuzzy,Fuzzy match: LindholmsvÄgen 30 (score: 86),medium,57.7062866,11.9290874,83
,,IF Mölndal Fotboll,8395.0,Idrottsvägen 5,,43162,,MÖLNDAL,Mölndal,mail@molndalfotboll.com,,http://www.molndalfotboll.com,57.7882203,12.0963704,,fuzzy,Street midpoint: VÄnderotsvÄgen (1 addresses),medium,57.7882203,12.0963704,84
,,IF Vardar/Makedonija,4328.0,"Klubbhuset, Generatorsplan",,41705,,GÖTEBORG,Göteborg,Ifvardarmakedonija@gmail.com,,https://www.svenskalag.se/IFVardarMakedonija,,,,failed,Geocoding failed,medium,,,85
,,IF Warta,4547.0,Södra Sälöfjordsgatan 29,,41873,,GÖTEBORG,Göteborg,fuifwarta@gmail.com,,ifwarta.se,57.7126853,11.9025989,,exact,Exact match: SÖdra SÄlÖfjordsgatan 29,medium,57.7126853,11.9025989,86
,,IF Väster,4503.0,Box 206,,421 22,,Västra Frölunda,Göteborg,info@ifvaster.com,,http://www.ifvaster.com,,,,failed,Geocoding failed,medium,,,87
,,IFK Björkö,2236.0,Ekvägen 4,Malin Sandström,475 37,,BOHUS-BJÖRKÖ,Öckerö,epost@ifkbjorko.nu,,http://www.ifkbjorko.nu,57.7850637,12.0867808,,fuzzy,Fuzzy match: EkÅsvÄgen 4 (score: 88),medium,57.7850637,12.0867808,88
,,IFK Göteborg,2250.0,Kamratgårdsvägen 50,,41655,,GÖTEBORG,Göteborg,info@ifkgoteborg.se,,www.ifkgoteborg.se,57.6973088,12.0288277,,exact,Exact match: KamratgÅrdsvÄgen 50,large,57.6973088,12.0288277,89
,,IFK Göteborg Futsal,40671.0,Kvibergs Port 6,,41527,,Göteborg,Göteborg,info@ifkgoteborgfutsal.se,,www.ifkgoteborgfutsal.se,57.73053706666667,12.032913333333331,,fuzzy,Street midpoint: Kvibergs BrovÄg (3 addresses),large,57.73053706666667,12.032913333333331,90
,,IFK Hindås,2255.0,Sportvägen 9,,43898,,HINDÅS,Härryda,kansli@ifkhindas.se,,www.ifkhindas.com,57.707242,11.7668321,,fuzzy,Fuzzy match: SkotvÄgen 9 (score: 84),medium,57.707242,11.7668321,91
,,IFK Hällingsjö,8357.0,Björkängsvägen 3,,43896,,HÄLLINGSJÖ,Härryda,sebastian.valenzuela@live.se,,http://www.ifkhallingsjo.se/,57.7185958,11.7253171,,fuzzy,Fuzzy match: BjÖrkÅsvÄgen 3 (score: 85),medium,57.7185958,11.7253171,92
,,IK Kongahälla,8372.0,Karebyvägen 4,,442 42,,KUNGÄLV,Kungälv,linus.carlstrom@ikkongahalla.com; tanja.ivanova@ikkongahalla.com; johan.lindberg@ikkongahalla.com; ikkongahalla1906@gmail.com,,www.ikkongahalla.com,57.76365413333334,11.865690455555557,,fuzzy,Street midpoint: AllebyvÄgen (9 addresses),medium,57.76365413333334,11.865690455555557,93
,,IK Surd,3919.0,Eklanda Hage 143b,,43149,,GÖTEBORG,Göteborg,nslattman@gmail.com,,www.iksurd.se,,,,failed,Geocoding failed,medium,,,94
,,IK Virgo,25892.0,Ljungbackegatan 1b,Röda klubbstugan längst ner på gatan,412 59,,GÖTEBORG,Göteborg,kansli@ikvirgo.se,,http://www.ikvirgo.se,57.68500848000001,11.98073936,,exact,Street midpoint: Ljungbackegatan (5 addresses),large,57.68500848000001,11.98073936,95
,,IK Zenith,4573.0,Zenithgården,,42355,,TORSLANDA,Göteborg,kansliet@ikzenith.se; robert.niklasson@ikzenith.se,,http://www.ikzenith.se/,57.7515891,11.8284141,,exact,Street midpoint: ZenithgÅrden (1 addresses),medium,57.7515891,11.8284141,96
,,IK Zenith FF,66977.0,Zenithgården 1,,42355,,Torslanda,Göteborg,kansliet@ikzenith.se,,http://www.ikzenith.se,57.7515891,11.8284141,,exact,Exact match: ZenithgÅrden 1,medium,57.7515891,11.8284141,97
,,Inter Göteborg IF,52864.0,Släpharvsgatan 5C,,43147,,Mölndal,Göteborg,Intergif@outlook.com,,www.svenskalag.se/intergif,57.79754723563219,12.053522495402298,,fuzzy,Street midpoint: LÄnkharvsgatan (87 addresses),medium,57.79754723563219,12.053522495402298,98
,,Jitex BK,31889.0,Idrottsvägen,,43162,,MÖLNDAL,Mölndal,info@jitex.se,,www.jitex.se,57.7882203,12.0963704,,fuzzy,Street midpoint: VÄnderotsvÄgen (1 addresses),medium,57.7882203,12.0963704,99
,,Johannebergs IF,23732.0,Sagogången 42,Rino Wiger,42245,,Hisingsbacka,Göteborg,rino.wiger@gmail.com,,https://www.svenskalag.se/johannebergsif,57.7423562,11.9761058,,exact,Exact match: SagogÅngen 42,large,57.7423562,11.9761058,100
,,Jonsereds IF,8365.0,Jons Väg 23,,433 75,,JONSERED,Partille,kansli@jonseredsif.se,,http://www.jonseredsif.se/,57.816984,11.9075666,,exact,Street midpoint: Jons VÄg (1 addresses),medium,57.816984,11.9075666,101
,,Järnbrotts IF,8366.0,Musikvägen 42,Reine Tilly,421 39,,VÄSTRA FRÖLUNDA,Göteborg,jarnbrottsif@gmail.com,,www.laget.se/JARNBROTT,57.6599406,11.9105612,,exact,Exact match: MusikvÄgen 42,medium,57.6599406,11.9105612,102
,,Kalvsunds IF,8367.0,Gamla vägen 19,,475 36,,KALVSUND,Öckerö,info@kalvsundsif.se,,www.laget.se/kalvsundsif,57.66767412352941,11.859881276470588,,exact,Street midpoint: Gamla VÄgen (17 addresses),medium,57.66767412352941,11.859881276470588,103
,,Kareby IS,2482.0,Hagenvägen 73,,442 46,,KAREBY,Kungälv,fotboll@kareby.com,,http://www.kareby.com,57.77083082878787,11.835537030303032,,fuzzy,Street midpoint: HÖgenvÄgen (66 addresses),medium,57.77083082878787,11.835537030303032,104
