Företagsnamn,Postadress,Omsättning (tkr),Anställda,År
Bilia AB,421 32 Västra Frölunda,781000,253,2024
Grafiska Vägen Livs AB,412 83 Göteborg,767021,108,2024
NTEX Inrikes AB,418 79 Göteborg,758471,171,2024
Hans Andersson Paper Nya AB,411 16 Göteborg,751885,12,2024
Input Interiör AB,421 30 Västra Frölunda,740197,54,2024
Wärtsilä Sweden AB,418 78 Göteborg,739584,137,2024
BESAB AB,422 59 Hisings Backa,736412,191,2024
NetGroup Engineering i Göteborg AB,417 55 Göteborg,732725,4,2024
Sirius Chartering AB,426 58 Västra Frölunda,730144,7,2024
Flodén Byggnads AB,412 50 Göteborg,728006,66,2024
White Arkitekter AB,411 18 Göteborg,727147,520,2024
Almondy AB,423 37 Torslanda,721987,105,2024
Devoco Building AB,436 32 Askim,706770,55,2024
Tenneco Sverige AB,418 79 Göteborg,704651,61,2024
Greencarrier Liner Agency Sweden AB,426 77 Västra Frölunda,698986,14,2024
Svenska Orient Linien AB,414 51 Göteborg,697669,13,2024
Evercare Medical AB,425 37 Hisings Kärra,689295,20,2024
Balder Bronsyxan 19 AB,411 38 Göteborg,687000,143,2024
Renova AB,411 04 Göteborg,685748,334,2024
ColliCare Logistics AB,422 46 Hisings Backa,684687,70,2024
ARA Timber AB,411 16 Göteborg,676382,6,2024
Chalmersfastigheter AB,411 32 Göteborg,671656,36,2024
Alektum Group AB,411 03 Göteborg,669375,252,2024
Donsö Shipping AB,430 82 Donsö,668392,0,2024
Gundlach Automotive Solutions Sweden AB,418 78 Göteborg,667484,21,2024
Mono Trading Sweden AB,436 32 Askim,666445,3,2024
ANSYS Sweden AB,416 64 Göteborg,660922,47,2024
CooperVision Nordic AB,416 64 Göteborg,660237,53,2024
Prevex AB,422 46 Hisings Backa,657098,136,2024
Volvo Business Services International AB,418 79 Göteborg,654619,110,2024
JAS Worldwide Sweden AB,426 77 V Frölunda,652551,100,2024
Stena Rederi AB,413 03 Göteborg,649000,186,2024
Foundever Sweden AB,417 55 Göteborg,648777,1060,2024
Focus Nordic AB,415 68 Göteborg,645889,70,2024
Fisher Scientific GTF AB,418 78 Göteborg,645215,65,2024
DMG MORI Sweden AB,421 31 V Frölunda,644038,50,2024
Nobel Biocare AB,411 17 Göteborg,635184,345,2024
Bröderna Hanssons i Gbg Export AB,414 51 Göteborg,632761,115,2024
Göteborgs Stads Parkerings AB,412 51 Göteborg,632051,84,2024
Manta Marine Technologies AB,412 83 Göteborg,620742,103,2024
Träfraktkontoret i Göteborg AB,414 51 Göteborg,617845,22,2024
Input Interiör Göteborg AB,421 30 V Frölunda,616090,110,2024
Stena Bygg AB,412 50 Göteborg,615253,18,2024
V-TAB AB,412 50 Göteborg,614736,146,2024
Danish Crown Sweden AB,422 53 Hisings Backa,612117,40,2024
DAB Group AB,417 07 Göteborg,600264,191,2024
Avarn Security Systems AB,421 32 V Frölunda,591882,366,2024
Mileway Sunbeam Bidco AB,Göteborg,587907,0,2024
Örneborgs Delikatesser AB,436 32 Askim,587712,67,2024
Skeppsviken Bygg i Göteborg AB,414 51 Göteborg,583179,55,2024
Oljefirma J. Christensson AB,430 84 Styrsö,577751,3,2024
Garmin Nordic Sweden AB,427 40 Billdal,566550,73,2024
Gothenburg Ro/Ro Terminal AB,418 34 Göteborg,565945,284,2024
Swemaint AB,415 72 Göteborg,563285,266,2024
Ewellix AB,415 02 Göteborg,563046,59,2024
Oticon Medical AB,436 32 Askim,562334,49,2024
STS Alpresor AB,411 34 Göteborg,559176,45,2024
GöteborgsOperan AB,411 04 Göteborg,553938,480,2024
Bakels Sweden AB,415 05 Göteborg,549011,116,2024
DevPort AB,417 55 Göteborg,543362,14,2024
Lagerhaus AB,412 63 Göteborg,542905,159,2024
Castra Group AB,412 50 Göteborg,536026,16,2024
Anläggningsbolaget Väst AB,417 49 Göteborg,531257,76,2024
Fastighets AB Balder,411 38 Göteborg,529000,474,2024
Volvo Business Services AB,418 79 Göteborg,522308,122,2024
Forest Papper AB,414 63 Göteborg,517700,2,2024
Epical Sweden AB,411 04 Göteborg,513088,323,2024
Veteranpoolen AB,411 14 Göteborg,512641,775,2024
Munkebäcks Livs AB,416 72 Göteborg,511588,98,2024
Elektroautomatik i Sverige AB,418 78 Göteborg,508360,193,2024
KUKA Nordic AB,421 30 V Frölunda,507569,40,2024
Framtiden Byggutv. AB,412 58 Göteborg,506255,45,2024
Recorded Future AB,411 20 Göteborg,506036,136,2024
Volvo Financial Services AB,411 04 Göteborg,496517,38,2024
Forbo Flooring AB,421 32 V Frölunda,496172,78,2024
GPBM Nordic AB,418 78 Göteborg,494349,74,2024
Pmflex Group Northern Europe AB,422 46 Hisings Backa,493895,18,2024
LPE Sverige AB,424 57 Gunnilse,493095,106,2024
VecScan AB,417 55 Göteborg,490715,101,2024
Kärcher AB,425 37 Hisings Kärra,490462,95,2024
Stena Recycling International AB,414 51 Göteborg,488961,118,2024
AB Svenskt Konstsilke,421 67 V Frölunda,488291,8,2024
DROPS Design AB,436 32 Askim,483947,2,2024
Wallenstam AB,411 36 Göteborg,481000,261,2024
Foxway Education AB,417 55 Göteborg,473299,71,2024
Trident BMC AB,417 55 Göteborg,471583,52,2024
Moberg Bil AB,417 05 Göteborg,469117,33,2024
Torslanda Stormarknad AB,423 37 Torslanda,466882,77,2024
Sveafjord AB,418 79 Göteborg,466451,3,2024
Lynk & Co Sales Sweden AB,417 55 Göteborg,463188,32,2024
F.O. Peterson & Söner Bygg AB,411 05 Göteborg,462502,79,2024
KSB Sverige AB,436 32 Askim,461770,68,2024
Erik Tiberg Möbler AB,421 48 V Frölunda,461713,132,2024
Rederi AB Älvtank,430 82 Donsö,460789,61,2024
Aarsleff Ground Engineering AB,424 57 Gunnilse,454073,85,2024
icomera AB,411 03 Göteborg,450512,112,2024
Aktiebolaget Sappa,412 85 Göteborg,450264,65,2024
Trek Sweden AB,436 33 Askim,449002,19,2024
Kewab Syd-Väst AB,422 46 Hisings Backa,447713,62,2024
Enter Ställningar AB,417 46 Göteborg,444341,121,2024
Signal & Andersson Chark. AB,421 32 V Frölunda,443221,118,2024
DAW Nordic AB,415 02 Göteborg,441031,159,2024
Glamox AB,412 51 Göteborg,436814,60,2024
dormakaba Sverige AB,436 34 Askim,435756,102,2024
RO-Gruppen Göteborg AB,412 63 Göteborg,435667,68,2024
Saigon Food AB,424 69 Angered,435231,38,2024
Hebe Frukt & Grönsaker AB,422 46 Hisings Backa,431717,56,2024
MAN Energy Solutions Sverige AB,418 78 Göteborg,428346,61,2024
Dräger Sverige AB,415 05 Göteborg,423342,78,2024
Constructor Sverige AB,415 68 Göteborg,422919,51,2024
Synthomer Speciality Additives AB,Göteborg,422325,52,2024
Norex International AB,411 10 Göteborg,419623,35,2024
Smart Retur Sverige AB,422 46 Hisings Backa,418897,27,2024
Protective System Svenska Prod. AB,421 31 V Frölunda,416799,62,2024
HiQ Göteborg AB,411 09 Göteborg,416357,295,2024
Pagero AB,411 17 Göteborg,414923,319,2024
Aleido Sweden AB,417 55 Göteborg,414611,289,2024
Forsman & Bodenfors AB,411 21 Göteborg,414123,143,2024
Awardit CLS AB,415 11 Göteborg,413129,73,2024
ALBIS Nordics & Baltics AB,411 06 Göteborg,410328,17,2024
Nordic Crane AB,417 30 Göteborg,408013,0,2024
DFDS Logistics Services AB,418 79 Göteborg,407281,253,2024
DEWESOFT AB,422 46 Hisings Backa,49894,6,2023
Hissteknik i Göteborg AB,415 02 Göteborg,49881,19,2024
MULBERRY SWEDEN AB,411 09 Göteborg,49833,14,2024
JICE Svenska AB,413 29 Göteborg,49805,3,2023
Goovinn AB,411 05 Göteborg,49786,25,2023
Software by QUOKKA AB,411 05 Göteborg,49747,40,2023
"Cykelhuset, Högsbo Elektrosport Aktiebolag",414 80 Göteborg,49649,21,2023
Krook & Tjäder Solutions AB,413 05 Göteborg,49622,4,2023
MOVIA AB,418 34 Göteborg,49602,18,2024
Frigus Aktiebolag,421 31 Västra Frölunda,49575,15,2024
Nordiqus Åkroken 1 AB,Göteborg,49521,0,2023
Vätterleden Aktiebolag,400 16 Göteborg,49448,0,2024
Our Studio void AB,411 15 Göteborg,49435,27,2023
Fredag Handel AB,421 32 Västra Frölunda,49425,16,2024
Delcore Järfälla AB,Göteborg,49420,0,2023
Autoshop Göteborg AB,422 46 Hisings Backa,49404,2,2022
Wikström Installationskonsult AB,412 50 Göteborg,49375,36,2024
Vägservice centralen i Norden AB,424 57 Gunnilse,49216,16,2023
Aspelin-Ramm Fastigheter AB,421 32 Västra Frölunda,49199,21,2023
Infotiv AB,411 17 Göteborg,49193,30,2023
IPL Independent Project & Logistics AB,411 18 Göteborg,49158,2,2024
Bergendahls El Teknik AB,412 75 Göteborg,49116,23,2023
Conciliance AB,411 03 Göteborg,49110,38,2023
Gung AB,412 81 Göteborg,49051,30,2024
Restaurang Valand AB,411 37 Göteborg,49043,27,2023
Forest X AB,412 50 Göteborg,48944,20,2023
Anphi AB,411 36 Göteborg,48914,36,2023
Rancold AB,417 07 Göteborg,48889,12,2024
Axel Arigato Sverige AB,411 21 Göteborg,48846,15,2023
Gillis Edman Begravning och Familjejuridik AB,411 40 Göteborg,48814,28,2023
Aktiebolaget C.I. Pihl,416 55 Göteborg,48811,11,2023
Fredsfisken Aktiebolag,422 46 Hisings Backa,48691,41,2023
Geogruppen i Göteborg AB,415 02 Göteborg,48683,27,2023
Balder Snöflingan 3 AB,Göteborg,48675,0,2023
Ahlqvist Motorcyklar AB,421 32 Västra Frölunda,48663,6,2023
Serneke Arenahotell AB,Göteborg,48659,0,2023
Göteborgs Mark o Trädgård AB,422 46 Hisings Backa,48649,7,2024
rt-labs Aktiebolag,413 27 Göteborg,48649,27,2023
Devies Development AB,411 16 Göteborg,48582,41,2023
Kinells Måleri Aktiebolag,426 77 Västra Frölunda,48582,51,2024
Yaki-Da AB,411 38 Göteborg,48552,23,2024
Prime Grill Göteborg AB,411 36 Göteborg,48429,20,2024
PcP. Sverige AB,421 31 Västra Frölunda,48391,5,2025
Flatås Byggnads Aktiebolag,Göteborg,48318,0,2023
AB Platzer Änggården 718:1,411 04 Göteborg,48309,0,2023
Ex-Te el Aktiebolag,415 05 Göteborg,48236,25,2024
Prokab Ekonomikonsulter AB,421 30 Västra Frölunda,48196,46,2023
Tata Steel International (Sweden) AB,411 05 Göteborg,48195,6,2024
Betonghåltagning i Göteborg Aktiebolag,422 46 Hisings Backa,48183,19,2024
Integro Consulting AB,417 03 Göteborg,48182,42,2023
Aktiebolaget Lindec,421 50 Västra Frölunda,48163,12,2024
ACL Invest 2003 AB,411 13 Göteborg,48146,0,2023
Fagerströms Livs AB,416 60 Göteborg,48144,11,2024
Ackordscentralen Väst Aktiebolag,411 17 Göteborg,48090,16,2024
Scandinavia Project Transport AB,418 34 Göteborg,48028,3,2023
Logent Customs AB,411 21 Göteborg,47986,33,2023
GBG Target 1 AB,Göteborg,47968,0,2023
JULVI HUS i Göteborg Aktiebolag,421 30 Västra Frölunda,47961,7,2023
Excellent El Installation i Göteborg Aktiebolag,421 32 Västra Frölunda,47952,28,2023
Guldhedens Flyttexpress AB,436 32 Askim,47901,16,2023
TechSeed AB,417 56 Göteborg,47887,3,2023
GE-bäst Services AB,421 31 Västra Frölunda,47859,69,2024
Meridion AB,414 63 Göteborg,47848,29,2024
Meat The World AB,417 29 Göteborg,47840,6,2023
Salming Sports AB,436 33 Askim,47811,8,2024
Steelbit Trading Gothenburg AB,417 13 Göteborg,47749,1,2023
Göteborgs Skog & Trädgård Aktiebolag,436 32 Askim,47740,7,2023
AmSpec (Sweden) AB,418 34 Göteborg,47735,27,2023
Tribuit Systems AB,417 63 Göteborg,47704,9,2024
Strait Air Transport Aktiebolag,411 27 Göteborg,47695,6,2023
Wardt Communication AB,411 14 Göteborg,47665,23,2023
QESTIT Göteborg AB,411 03 Göteborg,47655,42,2023
Front Advokater AB,412 50 Göteborg,47638,30,2022
Market Solutions Sverige AB,416 55 Göteborg,47632,9,2024
Iron Wheels AB,417 46 Göteborg,47583,23,2023
Swedish Academy for Advanced Clinical Dentistry AB,421 30 Västra Frölunda,47550,25,2023
Draganovic Matmarknad AB,424 32 Angered,47512,12,2023
Sardonyx 12 AB,Göteborg,47498,0,2023
Tro och tvivel AB,426 68 Västra Frölunda,47497,2,2023
Lejonet & Björnen Sverige AB,421 32 Västra Frölunda,47452,25,2023
Vidal Nordic AB,413 06 Göteborg,47433,1,2023
Logivity AB,418 73 Göteborg,47402,4,2023
Simonsen Bil Försäljning AB,425 37 Hisings Kärra,47397,1,2023
Mindcamp AB,413 28 Göteborg,47351,26,2024
Go North Rocket 26 AB,413 30 Göteborg,47305,0,2023
Bevion Group AB,413 27 Göteborg,47298,0,2023
Roima Sweden AB,412 50 Göteborg,47284,20,2023
Rösbo Åkeri Aktiebolag,442 90 Kungälv,47221,26,2024
Högsbohöjd Livs AB,414 83 Göteborg,47167,9,2024
Climacare Rörteknik AB,421 31 Västra Frölunda,47152,23,2023
Murbiten Tegel & Puts AB,422 46 Hisings Backa,47143,24,2023
A-P Ställningsprodukter AB,415 02 Göteborg,47143,6,2023
Allt i Mark Göteborg AB,422 59 Hisings Backa,47091,6,2023
Alhebi Gross AB,424 57 Gunnilse,47022,2,2023
Vitrolife AB,421 32 Västra Frölunda,47000,1,2023
Soal Marine AB,426 71 Västra Frölunda,46791,0,2023
FISKHUSET HILLBERG Aktiebolag,414 51 Göteborg,46740,32,2023
AlltiBil Västra Sverige AB,417 05 Göteborg,46717,23,2023
Edithouse Film Works AB,411 04 Göteborg,46717,14,2024
Clean Burn Trading AB,418 78 Göteborg,46705,10,2024
Stålgrossisten i Göteborg AB,412 65 Göteborg,46692,7,2023
Key Relocation Sweden AB,411 33 Göteborg,46586,29,2023
Din Klinik Väst Holding AB,413 30 Göteborg,46567,32,2022
Daydream Sweden AB,417 05 Göteborg,46562,17,2023
Oddbird International AB,411 24 Göteborg,46544,6,2023
BRP Shipping AB,421 57 Västra Frölunda,46504,29,2023
Okidoki AB,411 22 Göteborg,46487,43,2023
Jobtip AB,411 18 Göteborg,46473,34,2023
Edvardssons Måleri i Västra Frölunda AB,426 52 Västra Frölunda,46426,30,2023
Ballograf AB,426 52 Västra Frölunda,46364,23,2024
Montell & Partners Nordic AB,411 25 Göteborg,46308,0,2024
Twentyfoursevenlogistics AB,411 04 Göteborg,46300,18,2023
KOSTAL Sweden AB,417 56 Göteborg,46299,10,2023
Swedron Sverige AB,421 47 Västra Frölunda,46295,6,2023
ViAQ Projektledning AB,411 21 Göteborg,46203,19,2023
Prefinance Sweden AB,412 50 Göteborg,46162,3,2022
Bärgningstjänsten Sverige AB,425 36 Hisings Kärra,46137,29,2023
AJR Car Recond Sverige AB,421 31 Västra Frölunda,46123,25,2024
Velco West AB,415 02 Göteborg,46093,14,2024
Wästmur & Construction AB,422 46 Hisings Backa,46045,9,2023
KFR Mat AB,424 91 Olofstorp,46034,13,2023
Hemnovia AB,415 05 Göteborg,45908,57,2023
COBS AB,421 32 Västra Frölunda,45866,10,2024
Norse Nordics AB,411 17 Göteborg,45854,13,2023
Software Skills International AB,411 07 Göteborg,45832,9,2023
Greenbow AB,417 24 Göteborg,45831,5,2023
Västkustens Mur & Kakel AB,421 31 Västra Frölunda,45784,28,2023
Ocean Infinity (Offshore) AB,426 71 Västra Frölunda,45783,49,2023
K & K Väst El AB,417 07 Göteborg,45755,21,2024
Hi-Lo Electronics AB,Göteborg,45737,6,2022
Realise Communication Sweden AB,411 36 Göteborg,45703,13,2024
Scanlink Transport & Logistics AB,412 66 Göteborg,45666,6,2023
Berndt Mattssons Åkeri AB,418 78 Göteborg,45665,32,2024
Capio Gastro Center Göteborg AB,421 30 Västra Frölunda,45644,20,2024
Tripnet AB,412 51 Göteborg,45644,21,2024
Stylt-Trampoli AB,413 29 Göteborg,45606,21,2023
Arkipelagen Företagscenter AB,436 34 Askim,45564,13,2023
90 110 Sverige AB,418 34 Göteborg,45528,7,2024
Balder Borgwihl AB,Göteborg,45497,0,2023
Fysiken Friskvård i Göteborg AB,412 79 Göteborg,45473,23,2024
Hälsoresurs i Sverige AB,411 19 Göteborg,45465,7,2024
Solberg Kommunikation AB,411 16 Göteborg,45461,29,2024
Viapm AB,Göteborg,45427,22,2024
Järnporten Projektutveckling AB,411 10 Göteborg,45385,0,2023
Lerums Tekniska Isolering LTI AB,424 57 Gunnilse,45328,22,2023
AB Platzer Änggården 36:2,411 04 Göteborg,45302,0,2023
Ölstugan Avenyn AB,411 36 Göteborg,45233,26,2024
LSS-Partner AB,421 47 Västra Frölunda,45198,88,2023
Fria Valet Vård och Omsorg AB,424 36 Angered,45187,98,2023
Vrångö Transport AB,430 83 Vrångö,45149,15,2024
On-Site Exhibitions AB,416 63 Göteborg,45117,5,2024
